current_datetime,current_block_number,gas_price_Gwei
2023-05-28 12:46:39,17357608,24.732230331
2023-05-28 12:46:52,17357609,25.206488414
2023-05-28 12:47:04,17357610,25.806343096
2023-05-28 12:47:21,17357611,24.89598616
2023-05-28 12:47:26,17357612,24.499440071
2023-05-28 12:47:38,17357613,24.364871873
2023-05-28 12:47:46,17357614,24.364871873
2023-05-28 12:48:04,17357615,23.910606875
2023-05-28 12:48:16,17357616,23.641989895
2023-05-28 12:48:30,17357617,23.083640205
2023-05-28 12:48:43,17357618,23.216910651
2023-05-28 12:48:49,17357619,24.460070296
2023-05-28 12:49:04,17357620,25.098654516
2023-05-28 12:49:14,17357621,24.386029747
2023-05-28 12:49:33,17357622,23.912041936
2023-05-28 12:49:40,17357623,26.881001737
2023-05-28 12:49:53,17357624,26.122977088
2023-05-28 12:49:59,17357625,25.015938391
2023-05-28 12:50:20,17357626,25.468108065
2023-05-28 12:50:39,17357627,27.146138016
2023-05-28 12:50:51,17357628,26.9357114
2023-05-28 12:51:10,17357629,26.802284691
2023-05-28 12:51:16,17357630,26.595761211
2023-05-28 12:51:32,17357631,26.439370202
2023-05-28 12:51:39,17357632,26.260658893
2023-05-28 12:51:56,17357633,25.811830715
2023-05-28 12:52:03,17357634,24.867983264
2023-05-28 12:52:15,17357635,25.814695667
2023-05-28 12:52:23,17357636,25.814695667
2023-05-28 12:52:41,17357637,27.496994258
2023-05-28 12:52:53,17357638,27.563961644
2023-05-28 12:53:06,17357639,29.026315756
2023-05-28 12:53:19,17357640,27.410769933
2023-05-28 12:53:26,17357641,26.851229383
2023-05-28 12:53:40,17357642,26.566611016
2023-05-28 12:53:52,17357643,26.640511087
2023-05-28 12:54:05,17357644,26.343685329
2023-05-28 12:54:17,17357645,25.24078658
2023-05-28 12:54:29,17357646,24.794733926
2023-05-28 12:54:44,17357647,23.986611106
2023-05-28 12:54:50,17357648,25.226713782
2023-05-28 12:55:04,17357649,24.724492753
2023-05-28 12:55:16,17357650,23.852952746
2023-05-28 12:55:30,17357651,23.382692778
2023-05-28 12:55:36,17357652,23.60394258
2023-05-28 12:55:55,17357653,26.371500057
2023-05-28 12:56:03,17357654,25.495455286
2023-05-28 12:56:16,17357655,24.206761562
2023-05-28 12:56:31,17357656,23.432274129
2023-05-28 12:56:43,17357657,24.785401201
2023-05-28 12:56:58,17357658,23.547017966
2023-05-28 12:57:05,17357659,23.760496521
2023-05-28 12:57:18,17357660,23.59394513
2023-05-28 12:57:30,17357661,23.25965234
2023-05-28 12:57:43,17357662,23.356861208
2023-05-28 12:57:56,17357663,23.270518579
2023-05-28 12:58:02,17357664,23.215572269
2023-05-28 12:58:22,17357665,23.854967557
2023-05-28 12:58:28,17357666,24.450074454
2023-05-28 12:58:42,17357667,23.512709296
2023-05-28 12:58:48,17357668,23.512709296
2023-05-28 12:59:08,17357669,23.391181212
2023-05-28 12:59:14,17357670,23.777241524
2023-05-28 12:59:28,17357671,25.192309495
2023-05-28 12:59:34,17357672,25.192309495
2023-05-28 12:59:53,17357673,26.014540659
2023-05-28 13:00:05,17357674,24.730288896
2023-05-28 13:00:12,17357675,26.332088253
2023-05-28 13:00:32,17357676,28.206112439
2023-05-28 13:00:39,17357677,31.164808258
2023-05-28 13:00:52,17357678,31.696479241
2023-05-28 13:00:59,17357679,31.696479241
2023-05-28 13:01:19,17357680,32.553318889
2023-05-28 13:01:32,17357681,31.566331626
2023-05-28 13:01:39,17357682,32.588337109
2023-05-28 13:01:57,17357683,32.514616124
2023-05-28 13:02:04,17357684,31.740186488
2023-05-28 13:02:16,17357685,31.167272895
2023-05-28 13:02:34,17357686,30.199244118
2023-05-28 13:02:41,17357687,29.991763292
2023-05-28 13:02:55,17357688,29.087171833
2023-05-28 13:03:20,17357689,29.94590126
2023-05-28 13:03:27,17357690,30.094613232
2023-05-28 13:03:40,17357691,29.458124972
2023-05-28 13:03:55,17357692,28.449099739
2023-05-28 13:04:01,17357693,28.559993225
2023-05-28 13:04:21,17357694,27.700806287
2023-05-28 13:04:27,17357695,28.577707041
2023-05-28 13:04:40,17357696,27.703255336
2023-05-28 13:04:47,17357697,27.703255336
2023-05-28 13:05:06,17357698,26.410470625
2023-05-28 13:05:12,17357699,27.541227743
2023-05-28 13:05:32,17357700,27.64571728
2023-05-28 13:05:38,17357701,27.010959465
2023-05-28 13:05:51,17357702,28.046509626
2023-05-28 13:06:04,17357703,27.344889289
2023-05-28 13:06:18,17357704,27.087315019
2023-05-28 13:06:32,17357705,26.408987185
2023-05-28 13:06:39,17357706,28.321271208
2023-05-28 13:06:51,17357707,27.601976121
2023-05-28 13:07:10,17357708,27.544624284
2023-05-28 13:07:17,17357709,27.863044891
2023-05-28 13:07:33,17357710,27.402550589
2023-05-28 13:07:40,17357711,27.490241376
2023-05-28 13:07:51,17357712,27.008891822
2023-05-28 13:08:04,17357713,25.643766928
2023-05-28 13:08:17,17357714,25.284189353
2023-05-28 13:08:23,17357715,25.284189353
2023-05-28 13:08:42,17357716,25.298206653
2023-05-28 13:08:56,17357717,25.132374812
2023-05-28 13:09:03,17357718,24.361762755
2023-05-28 13:09:18,17357719,23.835791898
2023-05-28 13:09:24,17357720,24.942553626
2023-05-28 13:09:44,17357721,24.236281327
2023-05-28 13:09:50,17357722,23.816932349
2023-05-28 13:10:03,17357723,23.618974164
2023-05-28 13:10:09,17357724,23.618974164
2023-05-28 13:10:29,17357725,23.632834177
2023-05-28 13:10:42,17357726,23.984616874
2023-05-28 13:10:48,17357727,23.984616874
2023-05-28 13:11:07,17357728,23.715119069
2023-05-28 13:11:14,17357729,23.348224838
2023-05-28 13:11:29,17357730,23.357175233
2023-05-28 13:11:34,17357731,23.357175233
2023-05-28 13:11:53,17357732,23.546443946
2023-05-28 13:12:08,17357733,23.310343023
2023-05-28 13:12:15,17357734,23.161964034
2023-05-28 13:12:34,17357736,23.542910432
2023-05-28 13:12:55,17357737,22.490053538
2023-05-28 13:13:01,17357738,25.288723737
2023-05-28 13:13:19,17357739,25.173888916
2023-05-28 13:13:33,17357740,24.820224027
2023-05-28 13:13:41,17357741,24.571728542
2023-05-28 13:13:53,17357742,24.36796755
2023-05-28 13:14:00,17357743,24.36796755
2023-05-28 13:14:19,17357744,28.139521234
2023-05-28 13:14:25,17357745,28.251603612
2023-05-28 13:14:38,17357746,27.532619867
2023-05-28 13:14:58,17357747,26.865193142
2023-05-28 13:15:04,17357748,26.542513312
2023-05-28 13:15:16,17357749,25.702731922
2023-05-28 13:15:23,17357750,25.702731922
2023-05-28 13:15:43,17357751,24.671022806
2023-05-28 13:15:55,17357752,24.240617933
2023-05-28 13:16:02,17357753,23.89556562
2023-05-28 13:16:23,17357754,23.025040347
2023-05-28 13:16:29,17357755,25.050231342
2023-05-28 13:16:45,17357756,25.081191252
2023-05-28 13:16:51,17357757,23.59202726
2023-05-28 13:17:05,17357758,24.053099406
2023-05-28 13:17:12,17357759,23.683686523
2023-05-28 13:17:33,17357760,24.535553846
2023-05-28 13:17:40,17357761,25.276788248
2023-05-28 13:17:53,17357762,24.922751623
2023-05-28 13:18:06,17357763,25.506184956
2023-05-28 13:18:13,17357764,24.308315517
2023-05-28 13:18:31,17357765,25.531192321
2023-05-28 13:18:38,17357766,26.373891118
2023-05-28 13:18:51,17357767,27.02212866
2023-05-28 13:19:03,17357768,26.543800733
2023-05-28 13:19:15,17357769,26.410689472
2023-05-28 13:19:22,17357770,29.443547423
2023-05-28 13:19:49,17357771,30.396404419
2023-05-28 13:19:56,17357772,30.396404419
2023-05-28 13:20:11,17357773,30.765979147
2023-05-28 13:20:17,17357774,33.011470681
