current_datetime,current_block_number,gas_price_Gwei
2023-05-20 21:59:57,17303454,29.416475192
2023-05-20 22:00:05,17303455,29.964259149
2023-05-20 22:00:22,17303456,30.383009071
2023-05-20 22:00:30,17303457,34.147301669
2023-05-20 22:00:47,17303458,33.493213566
2023-05-20 22:00:56,17303459,32.922815181
2023-05-20 22:01:05,17303460,33.672494023
2023-05-20 22:01:22,17303461,32.303714346
2023-05-20 22:01:30,17303462,31.094256354
2023-05-20 22:01:49,17303464,29.680170041
2023-05-20 22:02:11,17303465,30.693228746
2023-05-20 22:02:19,17303466,28.55589936
2023-05-20 22:02:28,17303467,28.354962296
2023-05-20 22:02:37,17303468,27.239308988
2023-05-20 22:02:54,17303469,29.866727685
2023-05-20 22:03:11,17303470,29.689867185
2023-05-20 22:03:19,17303471,28.505693276
2023-05-20 22:03:29,17303472,30.282052773
2023-05-20 22:03:46,17303473,33.810559849
2023-05-20 22:04:02,17303474,33.426590112
2023-05-20 22:04:19,17303475,32.13020242
2023-05-20 22:04:37,17303477,30.904152781
2023-05-20 22:04:54,17303478,28.969147055
2023-05-20 22:05:03,17303479,32.340848355
2023-05-20 22:05:19,17303480,31.1999565
2023-05-20 22:05:36,17303481,29.012638635
2023-05-20 22:05:47,17303482,29.012638635
2023-05-20 22:05:56,17303483,28.507213908
2023-05-20 22:06:04,17303484,27.634940341
2023-05-20 22:06:21,17303485,31.063859807
2023-05-20 22:06:38,17303486,29.832795946
2023-05-20 22:06:46,17303487,29.832795946
2023-05-20 22:06:55,17303488,27.613172609
2023-05-20 22:07:04,17303489,29.23210615
2023-05-20 22:07:21,17303490,27.700407984
2023-05-20 22:07:30,17303491,27.855497436
2023-05-20 22:07:47,17303493,31.261096046
2023-05-20 22:08:05,17303494,32.985108063
2023-05-20 22:08:21,17303495,32.710294341
2023-05-20 22:08:29,17303496,36.334332332
2023-05-20 22:08:46,17303497,33.651332811
2023-05-20 22:08:55,17303498,31.50938469
2023-05-20 22:09:04,17303499,29.372691411
2023-05-20 22:09:12,17303500,29.98881253
2023-05-20 22:09:29,17303501,28.251485201
2023-05-20 22:09:46,17303502,26.900358657
2023-05-20 22:09:54,17303503,30.245915769
2023-05-20 22:10:12,17303504,31.78680918
2023-05-20 22:10:20,17303505,32.093724445
2023-05-20 22:10:29,17303506,31.683133783
2023-05-20 22:10:47,17303507,31.561828494
2023-05-20 22:10:56,17303508,31.269025841
2023-05-20 22:11:12,17303509,29.953148532
2023-05-20 22:11:21,17303510,29.132299892
2023-05-20 22:11:29,17303511,32.754013496
2023-05-20 22:11:38,17303512,32.891422401
2023-05-20 22:11:54,17303513,30.984152493
2023-05-20 22:12:11,17303514,34.838735363
2023-05-20 22:12:20,17303515,35.119500769
2023-05-20 22:12:37,17303516,33.357753069
2023-05-20 22:12:45,17303517,33.357753069
2023-05-20 22:12:54,17303518,31.977248129
2023-05-20 22:13:02,17303519,31.653848931
2023-05-20 22:13:19,17303520,31.511382515
2023-05-20 22:13:27,17303521,30.645803915
2023-05-20 22:13:44,17303522,29.77453755
2023-05-20 22:14:01,17303523,28.533407093
2023-05-20 22:14:09,17303524,28.533407093
2023-05-20 22:14:18,17303525,27.906295505
2023-05-20 22:14:26,17303526,27.430825695
2023-05-20 22:14:43,17303527,30.847075049
2023-05-20 22:14:59,17303528,30.902473847
2023-05-20 22:15:08,17303529,34.748846008
2023-05-20 22:15:25,17303530,33.810872286
2023-05-20 22:15:34,17303531,33.810872286
2023-05-20 22:15:42,17303532,32.508512853
2023-05-20 22:15:50,17303533,36.557069891
2023-05-20 22:16:07,17303534,35.901199001
2023-05-20 22:16:16,17303535,34.605962638
2023-05-20 22:16:33,17303536,33.513794287
2023-05-20 22:16:41,17303537,32.82482691
2023-05-20 22:16:57,17303538,31.100629411
2023-05-20 22:17:06,17303539,30.909553415
2023-05-20 22:17:14,17303540,30.36236522
2023-05-20 22:17:33,17303541,29.801694632
2023-05-20 22:17:42,17303542,29.797229725
2023-05-20 22:17:58,17303543,29.679134979
2023-05-20 22:18:14,17303545,28.423742511
2023-05-20 22:18:40,17303546,28.284466408
2023-05-20 22:18:57,17303547,30.079936232
2023-05-20 22:19:05,17303548,30.410543976
2023-05-20 22:19:21,17303549,29.159124166
2023-05-20 22:19:38,17303550,35.030175784
2023-05-20 22:19:46,17303551,35.030175784
2023-05-20 22:19:54,17303552,33.191610846
2023-05-20 22:20:03,17303553,32.697273197
2023-05-20 22:20:19,17303554,31.131359683
2023-05-20 22:20:28,17303555,31.796482743
2023-05-20 22:20:44,17303556,30.934276076
2023-05-20 22:20:53,17303557,29.37359097
2023-05-20 22:21:04,17303558,33.028922068
2023-05-20 22:21:21,17303559,31.719909606
2023-05-20 22:21:29,17303560,30.114733064
2023-05-20 22:21:46,17303561,29.775285193
2023-05-20 22:21:54,17303562,28.068093733
2023-05-20 22:22:11,17303563,31.563331432
2023-05-20 22:22:19,17303564,31.45367543
2023-05-20 22:22:27,17303565,30.422618698
2023-05-20 22:22:44,17303566,29.342575537
2023-05-20 22:22:52,17303567,31.539508096
2023-05-20 22:23:10,17303568,30.104363719
2023-05-20 22:23:18,17303569,28.630440108
2023-05-20 22:23:35,17303570,28.583115479
2023-05-20 22:23:43,17303571,32.137363242
2023-05-20 22:23:59,17303573,32.150106904
2023-05-20 22:24:16,17303574,34.133107835
2023-05-20 22:24:34,17303575,32.761219078
2023-05-20 22:24:42,17303576,30.454108678
2023-05-20 22:24:59,17303577,29.67235151
2023-05-20 22:25:07,17303578,29.206326738
2023-05-20 22:25:16,17303579,29.95185231
2023-05-20 22:25:24,17303580,29.082865387
2023-05-20 22:25:40,17303581,28.065399678
2023-05-20 22:25:57,17303582,31.560160402
2023-05-20 22:26:07,17303583,32.0563608
2023-05-20 22:26:16,17303584,36.041705131
2023-05-20 22:26:41,17303585,36.238974773
2023-05-20 22:26:58,17303586,37.018859871
2023-05-20 22:27:07,17303587,34.410266761
2023-05-20 22:27:23,17303589,32.493598891
2023-05-20 22:27:41,17303590,30.710606348
2023-05-20 22:27:57,17303591,29.627270206
2023-05-20 22:28:06,17303592,29.225949575
2023-05-20 22:28:23,17303593,29.281277956
2023-05-20 22:28:48,17303596,29.992893807
2023-05-20 22:29:05,17303597,31.944437533
2023-05-20 22:29:22,17303598,30.738521325
2023-05-20 22:29:33,17303599,29.36570442
2023-05-20 22:29:42,17303600,30.246632364
2023-05-20 22:29:50,17303601,28.958360748
2023-05-20 22:30:07,17303602,28.054146781
2023-05-20 22:30:16,17303603,31.326488089
2023-05-20 22:30:34,17303604,32.234655848
2023-05-20 22:30:44,17303605,36.243826123
2023-05-20 22:30:52,17303606,35.732943382
2023-05-20 22:31:11,17303607,34.37053353
2023-05-20 22:31:20,17303608,33.026707945
2023-05-20 22:31:29,17303609,31.956792162
2023-05-20 22:31:46,17303610,30.81061239
2023-05-20 22:31:54,17303611,30.571088296
2023-05-20 22:32:12,17303612,29.454024294
2023-05-20 22:32:20,17303613,28.717122092
2023-05-20 22:32:29,17303614,29.022516387
2023-05-20 22:32:37,17303615,30.012912284
2023-05-20 22:32:54,17303616,29.536730379
2023-05-20 22:33:03,17303617,29.53211421
2023-05-20 22:33:20,17303618,28.705772776
2023-05-20 22:33:28,17303619,28.993441723
2023-05-20 22:33:45,17303620,31.712465849
2023-05-20 22:33:53,17303621,31.600384247
2023-05-20 22:34:10,17303622,30.172762683
2023-05-20 22:34:18,17303623,29.33895474
2023-05-20 22:34:28,17303624,32.983125994
2023-05-20 22:34:46,17303625,31.971541187
2023-05-20 22:34:55,17303626,30.677780713
2023-05-20 22:35:06,17303627,29.918029052
2023-05-20 22:35:16,17303628,28.482135516
2023-05-20 22:35:35,17303630,27.33813764
2023-05-20 22:35:55,17303631,30.741686456
2023-05-20 22:36:03,17303632,34.568230318
2023-05-20 22:36:20,17303633,34.014516614
2023-05-20 22:36:30,17303634,32.957387445
2023-05-20 22:36:39,17303635,31.569505532
2023-05-20 22:36:57,17303636,30.179990878
2023-05-20 22:37:05,17303637,28.961396953
2023-05-20 22:37:22,17303639,27.808042807
2023-05-20 22:37:43,17303640,31.410288925
2023-05-20 22:37:51,17303641,29.936553807
2023-05-20 22:38:09,17303643,29.109417404
2023-05-20 22:38:30,17303644,31.170446799
2023-05-20 22:38:41,17303645,29.86724455
2023-05-20 22:38:58,17303646,28.327912614
2023-05-20 22:39:07,17303647,27.227645507
2023-05-20 22:39:16,17303648,30.600069396
2023-05-20 22:39:34,17303649,30.508482009
2023-05-20 22:39:44,17303650,28.752716024
2023-05-20 22:40:01,17303652,27.832703655
2023-05-20 22:40:20,17303653,31.297312652
2023-05-20 22:40:37,17303654,29.175324538
2023-05-20 22:40:46,17303655,29.175324538
2023-05-20 22:40:55,17303656,27.763171643
2023-05-20 22:41:03,17303657,31.220509071
2023-05-20 22:41:21,17303658,35.04593437
2023-05-20 22:41:29,17303659,33.084496829
2023-05-20 22:41:42,17303660,31.648403238
2023-05-20 22:41:50,17303661,30.769954776
2023-05-20 22:42:08,17303662,29.210451472
2023-05-20 22:42:16,17303663,27.588078465
2023-05-20 22:42:36,17303665,27.467854773
2023-05-20 22:42:54,17303666,29.682607896
2023-05-20 22:43:11,17303668,31.33523999
2023-05-20 22:43:31,17303669,29.977175485
2023-05-20 22:43:40,17303670,28.914239446
2023-05-20 22:43:57,17303671,27.440629537
2023-05-20 22:44:05,17303672,30.830009103
2023-05-20 22:44:22,17303673,29.490600939
2023-05-20 22:44:31,17303674,28.340135991
2023-05-20 22:44:39,17303675,28.340135991
2023-05-20 22:44:56,17303676,29.822381991
2023-05-20 22:45:05,17303677,28.488357274
2023-05-20 22:45:22,17303678,31.885326321
2023-05-20 22:45:32,17303679,30.559440106
2023-05-20 22:45:40,17303680,29.439515281
2023-05-20 22:45:52,17303681,29.002180956
2023-05-20 22:46:09,17303682,27.396849297
2023-05-20 22:46:18,17303683,30.805208056
2023-05-20 22:46:26,17303684,31.690340179
2023-05-20 22:46:38,17303685,30.495659327
2023-05-20 22:46:54,17303686,29.429428738
2023-05-20 22:47:14,17303688,27.471125434
2023-05-20 22:47:23,17303689,30.891906877
2023-05-20 22:47:41,17303690,30.487526002
2023-05-20 22:47:59,17303691,29.272559783
2023-05-20 22:48:08,17303692,28.874578971
2023-05-20 22:48:17,17303693,27.502193651
2023-05-20 22:48:25,17303694,30.919152661
2023-05-20 22:48:42,17303695,30.025445774
2023-05-20 22:48:51,17303696,28.346926274
2023-05-20 22:49:10,17303697,27.242112015
2023-05-20 22:49:18,17303698,29.560006084
2023-05-20 22:49:28,17303699,28.138197942
2023-05-20 22:49:46,17303700,27.580466548
2023-05-20 22:49:55,17303701,26.577468221
2023-05-20 22:50:12,17303702,29.882964557
2023-05-20 22:50:20,17303703,29.467330629
2023-05-20 22:50:30,17303704,29.068855599
2023-05-20 22:50:38,17303705,29.11259857
2023-05-20 22:50:56,17303706,27.493720473
2023-05-20 22:51:13,17303707,27.676805397
2023-05-20 22:51:22,17303708,27.676805397
2023-05-20 22:51:40,17303710,30.077146562
2023-05-20 22:51:49,17303711,30.262516992
2023-05-20 22:52:09,17303712,29.152077143
2023-05-20 22:52:17,17303713,27.677576494
2023-05-20 22:52:35,17303714,30.321676149
2023-05-20 22:52:45,17303715,28.67091657
2023-05-20 22:52:54,17303716,32.235707925
2023-05-20 22:53:11,17303717,30.540992537
2023-05-20 22:53:19,17303718,32.977207239
2023-05-20 22:53:27,17303719,31.070565388
2023-05-20 22:53:38,17303720,29.738865919
2023-05-20 22:53:55,17303721,33.006008248
2023-05-20 22:54:03,17303722,34.758610217
2023-05-20 22:54:16,17303723,32.530892521
2023-05-20 22:54:33,17303724,31.682984945
2023-05-20 22:54:41,17303725,29.985746654
2023-05-20 22:54:58,17303726,28.616248502
2023-05-20 22:55:06,17303727,32.178522978
2023-05-20 22:55:23,17303728,31.394063817
2023-05-20 22:55:31,17303729,29.890905619
2023-05-20 22:55:51,17303731,29.675307942
2023-05-20 22:56:09,17303732,26.229881919
2023-05-20 22:56:18,17303733,29.495017961
2023-05-20 22:56:26,17303734,29.761073983
2023-05-20 22:56:43,17303735,28.442620707
2023-05-20 22:56:51,17303736,27.317311672
2023-05-20 22:57:08,17303737,30.716631421
2023-05-20 22:57:25,17303738,28.208447728
2023-05-20 22:57:33,17303739,28.208447728
2023-05-20 22:57:41,17303740,28.287444177
2023-05-20 22:57:50,17303741,26.916796584
2023-05-20 22:58:06,17303742,30.256312276
2023-05-20 22:58:15,17303743,31.416217687
2023-05-20 22:58:31,17303744,29.542671727
2023-05-20 22:58:48,17303745,27.643098266
2023-05-20 22:58:56,17303746,28.527645325
2023-05-20 22:59:05,17303747,26.973910576
2023-05-20 22:59:13,17303748,30.32936891
2023-05-20 22:59:30,17303749,30.140177649
2023-05-20 22:59:38,17303750,33.889285444
2023-05-20 22:59:56,17303751,31.389804993
2023-05-20 23:00:12,17303752,30.147856312
2023-05-20 23:00:21,17303753,28.442411101
2023-05-20 23:00:29,17303754,30.074121734
2023-05-20 23:00:46,17303755,29.065364399
2023-05-20 23:00:54,17303756,28.924019697
2023-05-20 23:01:11,17303757,27.057858984
2023-05-20 23:01:20,17303758,30.42595771
2023-05-20 23:01:37,17303760,27.403384734
2023-05-20 23:01:56,17303761,25.895170562
2023-05-20 23:02:14,17303762,28.713925497
2023-05-20 23:02:23,17303763,28.713925497
2023-05-20 23:02:31,17303764,27.323492593
2023-05-20 23:02:39,17303765,28.136136533
2023-05-20 23:02:56,17303766,27.489230252
2023-05-20 23:03:13,17303767,29.494578253
2023-05-20 23:03:21,17303768,29.494578253
